exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADDA,d,2025-12-10,-57.0,41.0,-62.0,-7.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-11,32.0,78.0,32.0,73.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-12,-97.0,-52.0,-97.0,-74.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-15,-30.0,-30.0,-95.0,-95.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-16,-35.0,-6.0,-37.0,-8.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-17,51.0,62.0,-54.0,-50.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-18,41.0,49.0,-21.0,-21.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-19,64.0,64.0,36.0,52.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-22,65.0,73.0,33.0,33.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-23,-62.0,-29.0,-70.0,-46.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-24,-58.0,-17.0,-58.0,-22.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-26,-22.0,-3.0,-67.0,-4.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-29,-99.0,-81.0,-125.0,-87.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-30,17.0,17.0,-56.0,-51.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2025-12-31,-58.0,-25.0,-74.0,-26.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2026-01-02,41.0,67.0,-8.0,67.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2026-01-05,75.0,115.0,74.0,92.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2026-01-06,11.0,38.0,3.0,20.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2026-01-07,-18.0,5.0,-33.0,-14.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2026-01-08,-25.0,36.0,-25.0,36.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
INDEX,ADDA,d,2026-01-09,-12.0,12.0,-43.0,-35.0,0,ADDA,INDEX,2026-01-11 13:37:20.933708
