exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADRE,d,2025-12-10,0.69,6.43,0.69,6.41,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-11,0.92,2.29,0.92,2.29,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-12,0.2,0.23,0.18,0.18,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-15,2.08,2.08,0.87,1.0,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-16,0.47,0.57,0.35,0.57,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-17,1.39,1.47,0.29,0.29,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-18,6.85,7.5,3.87,3.87,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-19,2.82,3.93,2.82,3.05,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-22,3.25,3.95,3.14,3.65,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-23,0.63,1.74,0.63,1.74,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-24,1.16,4.36,1.16,4.34,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-26,1.46,1.46,0.63,1.19,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-29,0.53,0.53,0.34,0.42,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-30,1.09,1.26,0.76,0.76,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2025-12-31,0.42,0.42,0.14,0.14,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2026-01-02,3.45,3.45,1.79,2.74,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2026-01-05,4.07,8.45,4.07,8.43,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2026-01-06,1.78,3.68,1.78,3.68,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2026-01-07,0.87,0.95,0.44,0.44,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2026-01-08,0.45,1.06,0.45,1.06,0,ADRE,INDEX,2026-01-11 13:43:54.181884
INDEX,ADRE,d,2026-01-09,2.24,5.04,2.24,4.51,0,ADRE,INDEX,2026-01-11 13:43:54.181884
