exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADDS,d,2025-12-10,-218.0,689.0,-218.0,635.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-11,-23.0,543.0,-23.0,540.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-12,-568.0,-446.0,-568.0,-502.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-15,97.0,175.0,-58.0,145.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-16,-410.0,-410.0,-642.0,-461.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-17,265.0,345.0,-376.0,-376.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-18,621.0,937.0,621.0,717.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-19,370.0,929.0,370.0,892.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-22,271.0,648.0,271.0,642.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-23,-156.0,438.0,-156.0,438.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-24,-312.0,302.0,-330.0,262.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-29,-94.0,-47.0,-248.0,-48.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-30,53.0,118.0,-127.0,-127.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2025-12-31,-422.0,-422.0,-985.0,-975.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2026-01-02,310.0,457.0,223.0,455.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2026-01-05,427.0,1105.0,427.0,1102.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2026-01-06,458.0,779.0,458.0,779.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2026-01-07,-336.0,-18.0,-350.0,-191.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2026-01-08,-209.0,369.0,-209.0,368.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
INDEX,ADDS,d,2026-01-09,473.0,1152.0,473.0,1152.0,0,ADDS,INDEX,2026-01-11 13:40:04.842571
