exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADDN,d,2025-12-10,163.0,1131.0,163.0,909.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-11,590.0,966.0,590.0,764.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-12,-363.0,-277.0,-598.0,-471.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-15,146.0,146.0,-504.0,-141.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-16,-490.0,-303.0,-913.0,-613.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-17,563.0,964.0,-57.0,-24.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-18,892.0,908.0,267.0,272.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-19,275.0,336.0,38.0,38.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-22,703.0,891.0,553.0,629.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-23,-665.0,-195.0,-665.0,-313.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-24,-203.0,800.0,-203.0,697.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-26,-177.0,15.0,-777.0,14.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-29,-145.0,-145.0,-743.0,-456.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-30,-156.0,47.0,-384.0,-384.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2025-12-31,-533.0,-533.0,-1218.0,-1179.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2026-01-02,-57.0,756.0,-113.0,594.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2026-01-05,358.0,1017.0,358.0,803.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2026-01-06,225.0,729.0,225.0,704.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2026-01-07,-242.0,-242.0,-884.0,-818.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2026-01-08,283.0,1028.0,283.0,967.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
INDEX,ADDN,d,2026-01-09,-235.0,573.0,-235.0,284.0,0,ADDN,INDEX,2026-01-11 13:38:59.285677
