exchangeCode,symbolCode,interval,date,open,high,low,close,adjusted_close,volume,symbol,exchange,download_timestamp
CC,2Z-USD,d,2025-12-10,0.134,0.134,0.1318,0.1328,0.1328,19598862,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-11,0.1295,0.1295,0.1252,0.1262,0.1262,19524724,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-12,0.1259,0.1266,0.1186,0.1204,0.1204,14088439,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-15,0.1127,0.1127,0.1127,0.1127,0.1127,13554120,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-16,0.1101,0.1152,0.1089,0.1097,0.1097,19662410,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-17,0.1109,0.1109,0.1109,0.1109,0.1109,13714024,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-18,0.1052,0.1052,0.1052,0.1052,0.1052,12896138,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-19,0.102,0.102,0.102,0.102,0.102,16701672,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-22,0.109,0.109,0.109,0.109,0.109,9043600,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-23,0.1105,0.111,0.1095,0.1106,0.1106,10384036,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-24,0.1086,0.1086,0.1086,0.1086,0.1086,10890805,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-25,0.1132,0.1132,0.1117,0.112,0.112,18304090,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-26,0.1186,0.1186,0.1186,0.1186,0.1186,60042204,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-29,0.1151,0.1196,0.1145,0.1196,0.1196,21449428,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-30,0.1147,0.1147,0.1147,0.1147,0.1147,31355860,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2025-12-31,0.1268,0.1268,0.122,0.1247,0.1247,45354228,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2026-01-01,0.121,0.1237,0.1204,0.1237,0.1237,20566622,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2026-01-02,0.1241,0.1241,0.1241,0.1241,0.1241,17670672,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2026-01-05,0.128,0.128,0.128,0.128,0.128,11548360,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2026-01-06,0.1289,0.1289,0.1289,0.1289,0.1289,19709366,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2026-01-07,0.1259,0.1259,0.1259,0.1259,0.1259,16848878,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2026-01-08,0.1169,0.1174,0.1162,0.1167,0.1167,13625395,2Z-USD,CC,2026-01-11 15:04:13.871137
CC,2Z-USD,d,2026-01-09,0.1149,0.1149,0.1149,0.1149,0.1149,12261460,2Z-USD,CC,2026-01-11 15:04:13.871137
