exchangeCode,symbolCode,interval,date,open,high,low,close,adjusted_close,volume,symbol,exchange,download_timestamp
CC,AB-USD,d,2025-12-10,0.0047,0.0047,0.0047,0.0047,0.0047,9944900,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-11,0.0047,0.0047,0.0047,0.0047,0.0047,9810604,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-12,0.0047,0.006,0.0047,0.0053,0.0053,15922494,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-15,0.0054,0.0054,0.0054,0.0054,0.0054,11643586,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-16,0.0053,0.0053,0.0053,0.0053,0.0053,11865140,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-17,0.005,0.005,0.005,0.005,0.005,16641306,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-18,0.005,0.005,0.005,0.005,0.005,21196770,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-19,0.005,0.005,0.005,0.005,0.005,15808828,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-22,0.005,0.005,0.005,0.005,0.005,13917420,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-23,0.005,0.005,0.0048,0.0048,0.0048,13614860,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-24,0.0047,0.0047,0.0047,0.0047,0.0047,13353640,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-25,0.0047,0.0047,0.0047,0.0047,0.0047,14895023,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-26,0.0047,0.0047,0.0047,0.0047,0.0047,11875443,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-29,0.0046,0.0046,0.0046,0.0046,0.0046,8722713,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-30,0.0045,0.0045,0.0045,0.0045,0.0045,8911458,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2025-12-31,0.0045,0.0045,0.0045,0.0045,0.0045,7856374,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2026-01-01,0.0045,0.0045,0.0045,0.0045,0.0045,10028136,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2026-01-02,0.0045,0.0045,0.0045,0.0045,0.0045,9910645,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2026-01-05,0.0045,0.0045,0.0045,0.0045,0.0045,8004505,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2026-01-06,0.0045,0.0045,0.0045,0.0045,0.0045,9955355,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2026-01-07,0.0045,0.0045,0.0045,0.0045,0.0045,9247029,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2026-01-08,0.0044,0.0045,0.0044,0.0044,0.0044,9947659,AB-USD,CC,2026-01-11 15:08:36.521588
CC,AB-USD,d,2026-01-09,0.0044,0.0044,0.0044,0.0044,0.0044,8750145,AB-USD,CC,2026-01-11 15:08:36.521588
