exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
FOREX,AEDNZD,d,2025-12-10,0.4705,0.4705,0.4704,0.4704,5,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-11,0.4702,0.4702,0.468,0.468,0,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-12,0.4694,0.4694,0.4694,0.4694,0,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-15,0.4694,0.4694,0.4694,0.4694,4,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-16,0.47,0.47,0.4699,0.4699,0,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-17,0.47,0.4702,0.47,0.4702,5,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-18,0.4712,0.4713,0.4712,0.4713,5,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-19,0.4729,0.4729,0.4729,0.4729,0,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-22,0.4728,0.4728,0.4699,0.4699,9,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-23,0.4669,0.4669,0.4669,0.4669,4,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-29,0.4687,0.4688,0.4687,0.4688,3,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-30,0.4688,0.4693,0.4687,0.4693,8,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2025-12-31,0.4694,0.4725,0.4694,0.4725,2,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2026-01-02,0.4725,0.4725,0.4723,0.4723,0,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2026-01-04,0.4722,0.4722,0.4722,0.4722,1,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2026-01-05,0.4723,0.4723,0.4706,0.4706,9,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2026-01-06,0.471,0.471,0.471,0.471,2,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2026-01-07,0.4709,0.4711,0.4709,0.4711,4,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2026-01-08,0.4736,0.4736,0.4736,0.4736,6,AEDNZD,FOREX,2026-01-11 13:30:19.315682
FOREX,AEDNZD,d,2026-01-09,0.4751,0.4751,0.4751,0.4751,0,AEDNZD,FOREX,2026-01-11 13:30:19.315682
