exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,AAP,d,2025-12-15,46.35,46.4544,45.3,45.46,2009500,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-16,45.9,45.9,42.8,44.07,2910300,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-17,43.88,44.0843,42.61,42.79,1497100,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-18,43.15,43.35,41.23,41.26,2661600,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-19,41.13,41.26,40.38,40.4,2331000,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-22,40.43,40.9,40.01,40.75,1525500,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-23,40.33,40.56,39.36,39.48,2059100,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-24,39.5,41.24,39.4138,41.12,1062300,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-26,40.81,41.97,40.49,41.25,1483800,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-29,41.75,41.75,39.6942,39.87,3854800,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-30,39.88,40.3,39.27,39.64,2167100,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2025-12-31,39.65,40.71,38.88,39.3,1597700,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2026-01-02,39.58,39.705,37.89,38.89,2612400,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2026-01-05,39.14,40.06,38.665,38.75,2636300,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2026-01-06,38.67,41.54,38.41,41.36,2430600,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2026-01-07,41.04,42.5,40.77,41.22,1852100,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2026-01-08,40.79,43.01,40.475,42.38,1858700,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2026-01-09,42.51,43.86,41.6,43.84,1606900,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2026-01-12,43.66,44.32,42.7,42.99,1972600,AAP,NYSE,2026-01-14 09:54:42.882223
NYSE,AAP,d,2026-01-13,42.75,43.53,42.22,42.37,1659100,AAP,NYSE,2026-01-14 09:54:42.882223
