exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AADR,d,2025-12-03,84.46,85.35,84.46,84.915,1600,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-04,85.095,85.86,84.77,85.125,2000,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-05,85.815,85.815,84.935,84.935,1100,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-08,86.09,86.09,84.93,84.93,1500,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-09,85.35,85.595,85.215,85.215,800,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-10,84.92,85.4728,84.92,85.4728,700,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-11,86.41,86.765,86.321,86.71,3800,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-12,87.99,87.99,85.41,85.41,1000,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-15,85.17,85.58,85.17,85.58,5900,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-16,85.2412,85.2454,85.02,85.02,900,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-17,87.54,87.54,84.6961,84.6961,1300,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-18,84.5,84.84,84.5,84.84,2800,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-19,86.0799,86.0799,85.64,85.64,1200,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-22,86.64,87.15,86.64,86.765,1000,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-23,87.51,87.52,87.15,87.15,600,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-24,87.1437,87.1437,87.1437,87.1437,100,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-26,87.8,87.8,87.635,87.635,700,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-29,87.85,87.85,86.16,86.355,1600,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-30,86.69,87.09,86.535,86.535,1700,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2025-12-31,86.576,86.93,86.255,86.255,1300,AADR,NASDAQ,2026-01-04 16:05:46.073373
NASDAQ,AADR,d,2026-01-02,87.205,87.67,86.4301,87.665,800,AADR,NASDAQ,2026-01-04 16:05:46.073373
