exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAME,d,2025-12-03,2.44,2.53,2.34,2.48,57600,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-04,2.43,2.51,2.39,2.45,19900,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-05,2.51,2.6299,2.4,2.41,8400,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-08,2.43,2.47,2.43,2.44,9300,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-09,2.44,2.5799,2.44,2.52,14300,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-10,2.55,2.61,2.45,2.57,11500,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-11,2.5933,2.6199,2.53,2.53,8700,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-12,2.45,2.55,2.44,2.48,25000,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-15,2.43,2.44,2.31,2.31,31000,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-16,2.3,2.56,2.3,2.51,22800,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-17,2.46,2.4692,2.4,2.4,7200,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-18,2.3814,2.54,2.3814,2.45,3000,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-19,2.43,3.22,2.43,3.22,133000,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-22,3.12,3.17,2.68,2.95,107100,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-23,2.92,2.92,2.71,2.72,19000,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-24,2.67,2.82,2.6,2.62,25700,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-26,2.58,2.7008,2.5,2.55,24800,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-29,2.62,2.9589,2.6,2.7,27300,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-30,2.64,2.855,2.59,2.69,35200,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2025-12-31,2.63,2.83,2.6201,2.83,10600,AAME,NASDAQ,2026-01-04 16:07:57.801623
NASDAQ,AAME,d,2026-01-02,2.97,2.98,2.7,2.88,37800,AAME,NASDAQ,2026-01-04 16:07:57.801623
