exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AACG,d,2025-12-03,1.1,1.1,1.03,1.08,12500,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-04,1.035,1.0996,1.02,1.08,6900,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-05,1.06,1.0879,1.04,1.05,3300,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-08,1.02,1.051,1.0,1.0,24600,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-09,1.0395,1.07,0.951,0.951,21000,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-10,0.98,0.99,0.85,0.9,26400,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-11,0.95,1.0,0.9,0.979,12400,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-12,0.97,0.9835,0.9,0.9419,19900,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-15,0.915,0.915,0.84,0.855,31800,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-16,0.867,0.91,0.867,0.91,2300,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-17,0.875,0.89,0.8205,0.8899,5800,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-18,0.87,0.87,0.8205,0.8249,6600,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-19,0.8573,0.869,0.83,0.8669,8300,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-22,0.8454,0.8891,0.79,0.83,28500,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-23,0.75,0.845,0.75,0.825,21300,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-24,0.82,0.8473,0.8111,0.8111,2200,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-26,0.75,0.81,0.7391,0.744,28300,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-29,0.744,0.8099,0.744,0.7866,25500,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-30,0.7906,0.8111,0.78,0.798,31800,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2025-12-31,0.798,0.8037,0.7801,0.7903,27900,AACG,NASDAQ,2026-01-04 16:05:13.165463
NASDAQ,AACG,d,2026-01-02,0.79,0.8111,0.7899,0.8001,21500,AACG,NASDAQ,2026-01-04 16:05:13.165463
