exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADDU,d,2025-12-03,122.0,451.0,122.0,411.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-04,1.0,343.0,1.0,290.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-05,115.0,492.0,115.0,363.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-08,-199.0,-199.0,-608.0,-551.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-09,-3.0,198.0,-32.0,47.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-10,-20.0,378.0,-174.0,378.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-11,136.0,681.0,136.0,681.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-12,-197.0,-53.0,-197.0,-53.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-15,218.0,291.0,-133.0,21.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-16,-322.0,-322.0,-698.0,-592.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-17,1.0,75.0,-462.0,-442.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-18,413.0,765.0,413.0,469.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-19,3.0,625.0,3.0,562.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-22,256.0,723.0,256.0,707.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-23,264.0,563.0,264.0,563.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-24,-1.0,422.0,-167.0,422.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-26,139.0,491.0,139.0,491.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-29,-413.0,-411.0,-663.0,-593.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-30,173.0,513.0,173.0,375.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2025-12-31,-1.0,-1.0,-725.0,-636.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
INDEX,ADDU,d,2026-01-02,461.0,979.0,461.0,979.0,0,ADDU,INDEX,2026-01-04 15:53:09.315549
