exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AAEQ,d,2025-12-15,49.2822,49.2822,49.2822,49.2822,100,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-16,49.2816,49.2816,49.2816,49.2816,0,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-17,48.4785,48.4785,48.4785,48.4785,0,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-18,48.995,48.995,48.995,48.995,0,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-19,49.5635,49.5635,49.5635,49.5635,0,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-22,49.89,49.8901,49.8696,49.8696,4300,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-23,50.02,50.0385,50.02,50.0385,200,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-24,50.08,50.1886,50.08,50.1886,1400,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-26,50.1267,50.1267,50.1267,50.1267,100,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-29,49.8756,49.8756,49.8756,49.8756,100,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-30,49.76,49.78,49.7014,49.7014,5000,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2025-12-31,49.3278,49.3278,49.3278,49.3278,100,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2026-01-02,49.2892,49.2892,49.2892,49.2892,100,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2026-01-05,49.76,49.77,49.7191,49.7191,8300,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2026-01-06,49.875,49.875,49.875,49.875,100,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2026-01-07,49.75,49.925,49.7,49.7109,26300,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2026-01-08,49.599,49.599,49.599,49.599,100,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2026-01-09,49.88,49.98,49.88,49.9336,4300,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2026-01-12,50.12,50.12,50.1106,50.1106,1900,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
NASDAQ,AAEQ,d,2026-01-13,50.1,50.1423,50.1,50.1423,1900,AAEQ,NASDAQ,2026-01-14 09:40:08.573060
