exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NASDAQ,AACG,d,2025-12-15,0.915,0.915,0.84,0.855,31800,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-16,0.867,0.91,0.867,0.91,2300,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-17,0.875,0.89,0.8205,0.8899,5800,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-18,0.87,0.87,0.8205,0.8249,6600,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-19,0.8573,0.869,0.83,0.8669,8300,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-22,0.8454,0.8891,0.79,0.83,28500,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-23,0.75,0.845,0.75,0.825,21300,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-24,0.82,0.8473,0.8111,0.8111,2200,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-26,0.75,0.81,0.7391,0.744,28300,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-29,0.744,0.8099,0.744,0.7866,25500,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-30,0.7906,0.8111,0.78,0.798,31800,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2025-12-31,0.798,0.8037,0.7801,0.7903,27900,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2026-01-02,0.79,0.8111,0.7899,0.8001,21500,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2026-01-05,0.822,0.822,0.785,0.785,27100,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2026-01-06,0.811,0.811,0.7862,0.795,14300,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2026-01-07,0.8062,0.8505,0.8001,0.809,27900,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2026-01-08,0.89,0.89,0.8464,0.8603,5400,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2026-01-09,0.884,0.9136,0.87,0.8999,8300,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2026-01-12,0.88,0.96,0.8603,0.9354,31600,AACG,NASDAQ,2026-01-14 09:39:02.860838
NASDAQ,AACG,d,2026-01-13,0.96,0.96,0.94,0.94,12900,AACG,NASDAQ,2026-01-14 09:39:02.860838
