exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
INDEX,ADRU,d,2025-12-15,1.2,1.21,0.94,1.0,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-16,0.78,0.78,0.7,0.77,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-17,0.98,1.06,0.8,0.82,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-18,1.41,1.58,1.23,1.23,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-19,1.33,1.39,1.29,1.29,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-22,1.32,1.42,1.28,1.37,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-23,1.26,1.32,1.22,1.32,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-24,0.8,1.28,0.79,1.28,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-26,1.19,1.32,1.09,1.3,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-29,0.68,0.76,0.68,0.76,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-30,1.25,1.31,1.16,1.19,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2025-12-31,0.91,0.91,0.62,0.73,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2026-01-02,1.89,1.91,1.45,1.58,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2026-01-05,1.45,1.53,1.37,1.49,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2026-01-06,1.19,1.21,1.14,1.2,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2026-01-07,2.0,2.0,0.85,0.9,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2026-01-08,2.0,2.0,0.75,0.97,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2026-01-09,1.32,1.45,1.32,1.43,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2026-01-12,1.79,1.79,1.48,1.52,0,ADRU,INDEX,2026-01-14 09:32:29.157565
INDEX,ADRU,d,2026-01-13,0.86,0.92,0.81,0.84,0,ADRU,INDEX,2026-01-14 09:32:29.157565
